title,authors,journal_name,publication_date,link,abstract
Growing E. coli to high cell densityâa historical perspective on method development,"J Shiloach, R Fass",Biotechnology advances,2005.0,https://doi.org/10.1016/j.biotechadv.2005.04.004,"E. coli is the major bacterial platform for expressing simple heterologous proteins. Growing E. coli to high densities has been the subject of numerous studies since the early 1970s, exploring the limits of bacterial culture density in order to achieve maximum productivity. Research strategies were focused on improving the cultivation techniques, manipulating the bacteria's physiology or both. As a result, batch, fed batch and dialysis fermentation techniques had been developed. These growth strategies, together with optimization of media composition and the application of molecular biology methods, made it possible to grow E. coli to cell densities of up to 190 g/l (dry weight), while avoiding media precipitation and preventing acetate accumulation. Additional research on the effects of heterologous protein biosynthesis on signal transduction, proteolysis and post transcription events in E. coli may improve its productivity."
Efficient production of indigoidine in Escherichia coli,"Xu, F., et al.",J Ind Microbiol Biotechnol,2015.0,https://doi.org/10.1007/s10295-015-1642-5,"Indigoidine is a bacterial natural product with antioxidant and antimicrobial activities. Its bright blue color resembles the industrial dye indigo, thus representing a new natural blue dye that may find uses in industry. In our previous study, an indigoidine synthetase Sc-IndC and an associated helper protein Sc-IndB were identified from Streptomyces chromofuscus ATCC 49982 and successfully expressed in Escherichia coli BAP1 to produce the blue pigment at 3.93 g/l. To further improve the production of indigoidine, in this work, the direct biosynthetic precursor L-glutamine was fed into the fermentation broth of the engineered E. coli strain harboring Sc-IndC and Sc-IndB. The highest titer of indigoidine reached 8.81 +/- 0.21 g/l at 1.46 g/l L-glutamine. Given the relatively high price of L-glutamine, a metabolic engineering technique was used to directly enhance the in situ supply of this precursor. A glutamine synthetase gene (glnA) was amplified from E. coli and co-expressed with Sc-indC and Sc-indB in E. coli BAP1, leading to the production of indigoidine at 5.75 +/- 0.09 g/l. Because a nitrogen source is required for amino acid biosynthesis, we then tested the effect of different nitrogen-containing salts on the supply of L-glutamine and subsequent indigoidine production. Among the four tested salts including (NH4)2SO4, NH4Cl, (NH4)2HPO4 and KNO3, (NH4)2HPO4 showed the best effect on improving the titer of indigoidine. Different concentrations of (NH4)2HPO4 were added to the fermentation broths of E. coli BAP1/Sc-IndC+Sc-IndB+GlnA, and the titer reached the highest (7.08 +/- 0.11 g/l) at 2.5 mM (NH4)2HPO4. This work provides two efficient methods for the production of this promising blue pigment in E. coli."
Engineering of high yield production of Lâserine in Escherichia coli,K Schneider,Biotechnology and Bioengineering,2016.0,https://doi.org/10.1002/bit.25844,"L-serine is a widely used amino acid that has been proposed as a potential building block biochemical. The high theoretical yield from glucose makes a fermentation based production attractive. In order to achieve this goal, serine degradation to pyruvate and glycine in E. coli MG1655 was prevented by deletion of three L-serine deaminases sdaA, sdaB, and tdcG, as well as serine hydroxyl methyl transferase (SHMT) encoded by glyA. Upon overexpression of the serine production pathway, consisting of a feedback resistant version of serA along with serB and serC, this quadruple deletion strain showed a very high serine production yield (0.45âg/g glucose) during small-scale batch fermentation in minimal medium. Serine, however, was found to be highly toxic even at low concentrations to this strain, which lead to slow growth and production during fed batch fermentation, resulting in a serine production of 8.3âg/L. The production strain was therefore evolved by random mutagenesis to achieve increased tolerance towards serine. Additionally, overexpression of eamA, a cysteine/homoserine transporter was demonstrated to increase serine tolerance from 1.6âg/L to 25âg/L. During fed batch fermentation, the resulting strain lead to the serine production titer of 11.7âg/L with yield of 0.43âg/g glucose, which is the highest yield reported so far for any organism. Biotechnol. Bioeng. 2016;113: 807â816. © 2015 Wiley Periodicals, Inc."
Susceptibility ofEscherichia coli to C2-C18 fatty acids,V Rada,Folia Microbiologica,2003.0,https://doi.org/10.1007/BF02931506,"The antimicrobial activity of C2âC18 fatty acids was determinedin vitro in cultures of two strains ofEscherichia coli grown on glucose. Antimicrobial activity was expressed as IC50 (a concentration at which only 50 % of the initial glucose in the cultures was utilized). Utilization of glucose was inhibited by caprylic acid (IC50 0.30â0.85 g/L) and capric acid (IC50 1.25â2.03 g/L). Neither short-chain fatty acids (C2âC6) nor fatty acids with longer chain (C12âC18) influenced substrate utilization. Caproic acid, however, decreased cell yield in cultures ofE. coli in a dose-dependent manner. No inhibition of glucose utilization was produced with unsaturated fatty acids, oleic and linoleic. Calcium ions added in excess reversed the antimicrobial effect of capric acid, but not that of caprylic acid. Antimicrobial activity of caprylic and capric acid decreased when the bacteria were grown in the presence of straw particles, or repeatedly subcultured in a medium containing these compounds at low concentrations. Counts of viable bacteria determined by plating decreased after incubation with caprylic and capric acid (30 min; 1 g/L) at pH 5.2 from >109 to â102/mL. A reduction of a mere 0.94â1.96 log10 CFU was observed at pH 6.5â6.6. It can be concluded that caprylic acid, and to a lesser extent also capric acid, has a significant antimicrobial activity towardE. coli. Effects of other fatty acids were not significant or absent."
In silico design and adaptive evolution of Escherichia coli for production of lactic acid,"Fong, S. S., et al.",Biotechnol Bioeng,2005.0,https://doi.org/10.1002/bit.20542,"The development and validation of new methods to help direct rational strain design for metabolite overproduction remains an important problem in metabolic engineering. Here we show that computationally predicted E. coli strain designs, calculated from a genome-scale metabolic model, can lead to successful production strains and that adaptive evolution of the engineered strains can lead to improved production capabilities. Three strain designs for lactate production were implemented yielding a total of 11 evolved production strains that were used to demonstrate the utility of this integrated approach. Strains grown on 2 g/L glucose at 37 degrees C showed lactate titers ranging from 0.87 to 1.75 g/L and secretion rates that were directly coupled to growth rates."
Biosynthesis of ethylene glycol in Escherichia coli,"Liu, H., et al.",Appl Microbiol Biotechnol,2013.0,https://doi.org/10.1007/s00253-012-4618-7,"Ethylene glycol (EG) is an important platform chemical with steadily expanding global demand. Its commercial production is currently limited to fossil resources no biosynthesis route has been delineated. Herein, a biosynthesis route for EG production from D-xylose is reported. This route consists of four steps: D-xylose --> D-xylonate --> 2-dehydro-3-deoxy-D-pentonate --> glycoaldehyde --> EG. Respective enzymes, D-xylose dehydrogenase, D-xylonate dehydratase, 2-dehydro-3-deoxy-D-pentonate aldolase, and glycoaldehyde reductase, were assembled. The route was implemented in a metabolically engineered Escherichia coli, in which the D-xylose --> D-xylulose reaction was prevented by disrupting the D-xylose isomerase gene. The most efficient construct produced 11.7 g L(-1) of EG from 40.0 g L(-1) of D-xylose. Glycolate is a carbon-competing by-product during EG production in E. coli blockage of glycoaldehyde --> glycolate reaction was also performed by disrupting the gene encoding aldehyde dehydrogenase, but from this approach, EG productivity was not improved but rather led to D-xylonate accumulation. To channel more carbon flux towards EG than the glycolate pathway, further systematic metabolic engineering and fermentation optimization studies are still required to improve EG productivity."
Systematic engineering for high-yield production of viridiflorol and amorphadiene in auxotrophic Escherichia coli,"Shukal, S., et al.",Metab Eng,2019.0,https://doi.org/10.1016/j.ymben.2019.07.007,"Isoprenoids, widely used as pharmaceuticals, flavors and nutraceuticals, represent one of the largest groups of natural products. Yet the low availability of top-quality (enantiopure) products and high cost limit the wide application of many valuable terpenoids. An example being viridiflorol, currently used in cosmetics and personal care products, may have other unexplored applications (e.g. as insect repellents anti-inflammatory supplements). Here, we systematically optimized an auxotrophic Escherichia coli to produce viridiflorol with transcription, translation, enzyme and strain engineering. The best strain achieved 25.7â¯g/L and a yield of 0.22â¯g-viridiflorol/g-glucose in 2.5 days. Statistical analysis revealed the correlation between viridiflorol yields with the transcriptional levels and translation initiation rates, which enabled better understanding of the isoprenoid pathway and guiding future strain optimization. As a proof-of-concept example, we applied the knowledge to amorphadiene, anti-malaria drug artemisinin precursor, achieved 30â¯g/L. Hence, this study paved the way for commercialization of microbial terpenoid production."
Metabolic engineering of Escherichia coli for the production of 5-aminovalerate and glutarate as C5 platform chemicals,"SJ Park, YH Oh",Metabolic engineering,2013.0,https://doi.org/10.1016/j.ymben.2012.11.011,"5-Aminovalerate (5AVA) is the precursor of valerolactam, a potential building block for producing nylon 5, and is a C5 platform chemical for synthesizing 5-hydroxyvalerate, glutarate, and 1,5-pentanediol. Escherichia coli was metabolically engineered for the production of 5-aminovalerate (5AVA) and glutarate. When the recombinant E. coli WL3110 strain expressing the Pseudomonas putida davAB genes encoding delta-aminovaleramidase and lysine 2-monooxygenase, respectively, were cultured in a medium containing 20 g/L of glucose and 10 g/L of l-lysine, 3.6 g/L of 5AVA was produced by converting 7 g/L of l-lysine. When the davAB genes were introduced into recombinant E. coli strainXQ56allowing enhanced l-lysine synthesis, 0.27 and 0.5 g/L of 5AVA were produced directly from glucose by batch and fed-batch cultures, respectively. Further conversion of 5AVA into glutarate could be demonstrated by expression of the P. putida gabTD genes encoding 5AVA aminotransferase and glutarate semialdehyde dehydrogenase. When recombinant E. coli WL3110 strain expressing the davAB and gabTD genes was cultured in a medium containing 20 g/L glucose, 10 g/L l-lysine and 10 g/L Î±-ketoglutarate, 1.7 g/L of glutarate was produced."
Engineering Escherichia coli for the High-Titer Biosynthesis of Lacto-N-tetraose,"Hu, M., et al.",J Agric Food Chem,2022.0,https://doi.org/10.1021/acs.jafc.2c02423,"Lacto-N-tetraose (LNT), a member of the human milk oligosaccharides family, has received widespread attention because of its importance in infant health. We constructed a whole-cell biotransformation method in Escherichia coli BL21(DE3) for high-titer LNT synthesis. The approach was performed by using a systematic design and metabolic engineering based on the metabolic pathway of LNT. The lgtA (encoding beta-1,3-N-acetylglucosaminyltransferase) and wbgO (encoding beta-1,3-galactosyltransferase) genes were introduced into the engineered E. coli BL21(DE3) to construct an LNT-producing starting strain B1 (0.22 g/L). Then, the genes related to the LNT metabolic pathway were screened in two vectors to evaluate LNT synthesis. The lgtA-wbgO and galE-galT-galK genes were overexpressed through the two-plasmid system in E. coli BL21(DE3). The titer of LNT (3.42 g/L) had a gain of 14.55 times compared with that of B1. Furthermore, the ugd gene, which was associated with the UDP-Gal bypass pathway, was inactivated to further improve LNT production in shake-flask cultivation (4.14 g/L). The final fed-batch cultivation of the engineered strain produced 31.56 g/L of LNT. This study provided a strategy for the effective production of LNT in E. coli."
L-Tyrosine production by deregulated strains of Escherichia coli,"T LÃ¼tke-Eversloh, G Stephanopoulos",Applied microbiology and Biotechnology,2007.0,https://doi.org/10.1007/s00253-006-0792-9,"The excretion of the aromatic amino acid L-tyrosine was achieved by manipulating three gene targets in the wild-type Escherichia coli K12: The feedback-inhibition-resistant (fbr) derivatives of aroG and tyrA were expressed on a low-copy-number vector, and the TyrR-mediated regulation of the aromatic amino acid biosynthesis was eliminated by deleting the tyrR gene. The generation of this L-tyrosine producer, strain T1, was based only on the deregulation of the aromatic amino acid biosynthesis pathway, but no structural genes in the genome were affected. A second tyrosine over-producing strain, E. coli T2, was generated considering the possible limitation of precursor substrates. To enhance the availability of the two precursor substrates phosphoenolpyruvate and erythrose-4-phosphate, the ppsA and the tktA genes were over-expressed in the strain T1 background, increasing L-tyrosine production by 80% in 50-ml batch cultures. Fed-batch fermentations revealed that L-tyrosine production was tightly correlated with cell growth, exhibiting the maximum productivity at the end of the exponential growth phase. The final L-tyrosine concentrations were 3.8 g/l for E. coli T1 and 9.7 g/l for E. coli T2 with a yield of L-tyrosine per glucose of 0.037 g/g (T1) and 0.102 g/g (T2), respectively."
